commentId,videoId,videoUrl,commenterUsername,commenterNickname,commenterUid,commentText,likes,replyCount,commentDate,scrapeDate
"7600496098570617621","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","eliselida37","ERLIS Elida","7587786056500167687","astagfirullahaladzim ikan hiu kok di masak","0","0","2026-01-28T19:26:54.000Z","2026-04-10T03:05:41.984Z"
"7598794673973166855","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","dellanisa03","adalah pokok nya","7002904156727264258","ih guruku kalo di tanya menunya apa pak guru ku jawab nya ikan hiu 🗿🗿","0","0","2026-01-24T05:24:29.000Z","2026-04-10T03:05:41.984Z"
"7597273722408829713","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","kmgppbarxz","ᴀᴋʙᴀʀʜɪᴅᴀʏᴀʜ","7522431707209221137","🦈: kaya ada yang panggil","0","0","2026-01-20T03:02:26.000Z","2026-04-10T03:05:41.984Z"
"7596718938310951688","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","all.4kk","4 L 🔥","7591745779111642130","lah kan emang ada ikan asin hiu😂","0","0","2026-01-18T15:09:25.000Z","2026-04-10T03:05:41.984Z"
"7595236481393296146","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","s.ammy_0","VaaN","7518580002595046407","nangkep nya gmn🗿","0","0","2026-01-14T15:16:45.000Z","2026-04-10T03:05:41.984Z"
"7591923664036758292","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","iki_4857","ikisetres🫪🫪🫪🫪🫪🫪🫪🫪🫪","7590926310605063185","pantasan banyak yg kracunan","0","0","2026-01-05T17:01:23.000Z","2026-04-10T03:05:41.984Z"
"7590540440438407937","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","king_bakoo","RISKY PLENGER","7541737608801846273","itu pakai rod sama bait apa kok bisa angkat secret 🤣🤣🤣","0","0","2026-01-01T23:34:02.000Z","2026-04-10T03:05:41.984Z"
"7589641254553846529","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","aqlan3","malaanggeraeni","6836301549829866497","diaku hiu gorengq","0","0","2025-12-30T13:24:26.000Z","2026-04-10T03:05:41.984Z"
"7589205555521340178","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","dedeyadi6","💥(Zahra_Rania_cita)💥","7311661665564066822","mana ada mbg lauk nya hiu kalo udah ada bentuk nya baru hiu 🦈","0","0","2025-12-29T09:13:43.000Z","2026-04-10T03:05:41.984Z"
"7586996440895963912","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","hernitalince372017","hernitalince372017","6995291212253430786","ikan hiu itu racun Cok 🤬","0","0","2025-12-23T10:21:15.000Z","2026-04-10T03:05:41.984Z"
"7586563519643796245","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","kz092725","desplenger✌🏿","7581101996607833109","ouh mantep hiuu nyaa APAH HIUU 😱","0","0","2025-12-22T06:21:21.000Z","2026-04-10T03:05:41.984Z"
"7585447993039356673","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","fadly.amar2","Fadly Amar","7245496341382792210","macamana guru nyasi ngambil dari mana ngambil nya kan susah","0","0","2025-12-19T06:12:53.000Z","2026-04-10T03:05:41.984Z"
"7584660850994283280","7554009777232416056","https://www.tiktok.com/@dominika_ch43/video/7554009777232416056","bunga.srl","This flower","7419596844714279953","kk kok di wadah mbg nya ayam tapi di gambar hp nya hiu😭","0","0","2025-12-17T03:18:04.000Z","2026-04-10T03:05:41.984Z"
